id	whg_pid	title	ccodes	lon	lat	added	matches
amh_775p	6600087	Sherpur	IN	90.016515	25.015851	[]	wd:Q1991885
amh_781p	6600088	Shiraz	IR	52.524834	29.620027	[]	
amh_590p	6600089	Siam, Maccassar	ID			[]	
amh_646p	6600090	Siau	ID	125.4166667	2.75	[]	
amh_1007p	6600091	Signal Hill	BQ;AW;CW;SX	-62.992523	17.496939	[]	
amh_843p	6600092	Silalauw	ID	128.766275	-3.647959	[]	
amh_579p	6600093	Simon's Town	ZA	18.424391	-34.185252	[]	wd:Q1013370
amh_10302p	6600094	Sint Joris Baai	CW	-68.815371	12.12258	[]	
amh_984p	6600095	Sint Michielsbaai	BQ;AW;CW;SX	-68.998697	12.145613	[]	
amh_449p	6600096	Sirri Sorrij	ID	128.697814	-3.585852	[]	wd:Q12515400
amh_990p	6600097	Slagbaai	BQ;AW;CW;SX	-68.413358	12.264203	[]	
amh_1005p	6600098	Smoke Alley	BQ;AW;CW;SX	-62.983333	17.483333	[]	
amh_737p	6600099	Soecawayana	ID			[]	
amh_532p	6600100	Soetwaters Eijlant	IN			[]	
amh_389p	6600101	Somerset West	ZA	18.837748	-34.07328	[]	wd:Q1290313
amh_1091p	6600102	Sommelsdijk	SR	-54.864544	5.8161224	[]	
amh_861p	6600103	Songkhla	TH	100.5833333	7.2	[]	
amh_940p	6600104	Soyo	AO	12.367208	-6.132917	[]	
amh_604p	6600105	St. Andries	IN			[]	
amh_1128p	6600106	St. Anna's dorp	BQ;AW;CW;SX	-68.91666667	12.11666667	[]	
amh_533p	6600107	St. Bastiaan	LK			[]	
amh_869p	6600108	St. Helena eiland	SH	-5.717454	-15.925759	[]	wd:Q34497
amh_10271p	6600109	St. Kitts	KN	-62.767483	17.360226	[]	wd:Q763
amh_977p	6600110	St. Kruis	BQ;AW;CW;SX	-69.144613	12.306015	[]	
amh_1904p	6600111	St. Louis	SN	-16.4970334	16.02407699	[]	
amh_10280p	6600112	St. Lucia	LC	-60.959451	13.916195	[]	wd:Q760
amh_887p	6600113	St. Paul eiland	TF	77.518787	-38.725965	[]	
amh_786p	6600114	St. Thomas	IN	80.1928	13.002718	[]	
amh_1034p	6600115	State Island	US	-74.13333333	40.58333333	[]	
amh_387p	6600116	Stellenbosch	ZA	18.856266	-33.934103	[]	wd:Q5460
amh_10390p	6600117	Straat Le Maire		-64.919145	-54.787176	[]	wd:Q1479175
amh_756p	6600118	Sukadana	ID	109.952431	-1.229688	[]	
amh_540p	6600119	Sukaraja	ID			[]	
amh_541p	6600120	Sumedang	ID	107.925024	-6.838658	[]	wd:Q15073336
amh_568p	6600121	Sumenep	ID	113.860574	-7.00353	[]	wd:Q11773508
amh_340p	6600122	Surabaya	ID	112.733946	-7.286701	[]	wd:Q11462
amh_411p	6600123	Surakarta	ID	110.814915	-7.56195	[]	wd:Q13095204
amh_341p	6600124	Surat	IN	72.818828	21.195936	[]	wd:Q4629
amh_9070p	6600125	Suriname Rivier	SR	-55.105858	5.836608	[]	
amh_9855p	6600126	Surnows Kreek	SR	-55.830667	5.370113	[]	
