id	title	title_source	title_uri	ccodes	matches	variants	types	aat_types	parent_name	lon	lat	geo_source	description
7956600	Mazhini Dhār	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7956600	PK	tgn:7956600	Mazhini Dhār	mountain	300008795	Gilgit-Baltistān, Pākistān, Asia, World	73.439	36.1632	Getty TGN Jun 2017	
7957035	Bieni	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7957035	PK	tgn:7957035	Bieni	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	72.0112	36.0275	Getty TGN Jun 2017	
7957323	Ghalang Shāl	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7957323	PK	tgn:7957323	Ghalang Shāl	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	72.4036	36.5972	Getty TGN Jun 2017	
7957524	Mari Kan	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7957524	PK	tgn:7957524	Mari Kan	inhabited place	300008347	Balochistān, Pākistān, Asia, World	63.3951	26.0378	Getty TGN Jun 2017	
7957527	Bhālwa	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7957527	PK	tgn:7957527	Bhālwa	inhabited place	300008347	Sindh, Pākistān, Asia, World	70.655	24.6131	Getty TGN Jun 2017	
7958043	Surangan Gali	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7958043	PK	tgn:7958043	Surangan Gali	pass	300259572	Pākistān, Asia, World	74.209866	35.087444	Getty TGN Jun 2017	
7958347	Darkali	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7958347	PK	tgn:7958347	Darkali	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	73.405914	35.674614	Getty TGN Jun 2017	
7958654	Chak Mirdiān	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7958654	PK	tgn:7958654	Chak Mirdiān	inhabited place	300008347	Punjab, Pākistān, Asia, World	74.918233	32.33068	Getty TGN Jun 2017	
7959170	Dohar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7959170	PK	tgn:7959170	Dohar	inhabited place	300008347	Sindh, Pākistān, Asia, World	69.491504	24.454498	Getty TGN Jun 2017	
7959416	Uch Minor	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7959416	PK	tgn:7959416	Uch Minor	canal	300006075	Balochistān, Pākistān, Asia, World	68.57194	28.616072	Getty TGN Jun 2017	
7959475	Dalkoi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7959475	PK	tgn:7959475	Dalkoi	inhabited place	300008347	Gilgit-Baltistān, Pākistān, Asia, World	73.3205	36.4706	Getty TGN Jun 2017	
7960292	Dinari Halq	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7960292	PK	tgn:7960292	Dinari Halq	inhabited place	300008347	Balochistān, Pākistān, Asia, World	65.7517	27.322	Getty TGN Jun 2017	
7960476	Goth Hasan Khān	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7960476	PK	tgn:7960476	Goth Hasan Khān	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.9733	28.3163	Getty TGN Jun 2017	
7960526	Goth Arz Muhammad	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7960526	PK	tgn:7960526	Goth Arz Muhammad	inhabited place	300008347	Balochistān, Pākistān, Asia, World	67.9295	28.4288	Getty TGN Jun 2017	
7963148	Hazīr Pīr Camp	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7963148	PK	tgn:7963148	Hazīr Pīr Camp	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.292413	33.597844	Getty TGN Jun 2017	
7963261	Tange	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7963261	PK	tgn:7963261	Tange	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.15838	33.0647	Getty TGN Jun 2017	
7963743	Banyāmīnwāla	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7963743	PK	tgn:7963743	Banyāmīnwāla	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	70.211063	32.071432	Getty TGN Jun 2017	
7964906	Kacha Garhi	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7964906	PK	tgn:7964906	Kacha Garhi	deserted settlement	300167671	Khyber Pakhtunkhwa, Pākistān, Asia, World	71.442777	34.001403	Getty TGN Jun 2017	
7966472	Nāri Sar	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7966472	PK	tgn:7966472	Nāri Sar	inhabited place	300008347	Federally Administered Tribal Areas, Pākistān, Asia, World	70.097046	31.433513	Getty TGN Jun 2017	
7966731	Pitao	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7966731	PK	tgn:7966731	Pitao	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	71.92523	34.482953	Getty TGN Jun 2017	
7966988	Naghrīwālā	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7966988	PK	tgn:7966988	Fīroz Bānda;Naghrīwālā	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	70.997087	32.846108	Getty TGN Jun 2017	
7967208	Mīrān Kili	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7967208	PK	tgn:7967208	Mīrān Kili	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	71.717778	34.312778	Getty TGN Jun 2017	
7967220	Ziārat Kalle	Getty TGN Jun 2017	http://vocab.getty.edu/page/tgn/7967220	PK	tgn:7967220	Ziārat Kalle;Ziārat Kili	inhabited place	300008347	Khyber Pakhtunkhwa, Pākistān, Asia, World	71.613704	34.310536	Getty TGN Jun 2017	
