id	lon	lat	country	campname
10120	24.7535746	59.4369608	Estland	Estland/ -/ -/ TaLlinn
10121	24.7535746	59.4369608	Estland	Estland/ - / - /Tallinn
10122	24.7535746	59.4369608	Estland	Estland/ - / - / Tallinn
10123	24.7535746	59.4369608	Estland	Estland/ -/ - /Tallinn
10124	24.7535746	59.4369608	Estland	Estland/ - / - / Tallinn, Ellamaa, Kingu
10125	27.271019	59.3287775	Estland	Estland/ - / - / Tammiku, Ereda
10126	25.9636326	59.2636411	Estland	Estland/ - / -/ Tapa
10127	26.7290063	58.3776252	Estland	Estland/-/-/Tartu
10128	26.7290063	58.3776252	Estland	Estland/-/-/Tartu
10129	26.7290063	58.3776252	EstLand	EstLand/ - / - / Tartu
10130	26.7290063	58.3776252	Estland	Estland/ -/ - /Tartu
10131	26.4328785	58.3629359	EstLand	EstLand/ - / - / Ulila
10132	26.0315223	57.7770816	EstLand	EstLand/ - / - / VaLga
10133	26.0315223	57.7770816	Estland	Estland/ - / - / Valga
10134	26.0315223	57.7770816	Estland	Estland/ - / Valga/ Loosi
10135	26.0315223	57.7770816	Estland	Estland/ - / Valga/ Nudrezowo
10136	26.0315223	57.7770816	Estland	Estland/-/Valga/ Ulila
10137	26.0315223	57.7770816	Estland	Estland/ - / Valga/ Podra
10138	26.0315223	57.7770816	Estland	Estland/ - / Valga/ Kingu
10139	24.2903294	59.2431603	Estland	Estland/ - / - / Vasalemma
10140	23.809916	58.958652	Estland	Estland/ - / - / Vontkula
10141	41.0234153	43.0015252	Georgien	Georgien/ Abchasien/ - / Suchumi
10142	41.0234153	43.0015252	Georgien	Georgien/ Abchasien/ - / Suchumi
10143	41.0234153	43.0015252	Georgien	Georgien/ Abchasien/ - / Suchumi, Jeschera
10144	40.4748237	43.1597423	Georgien	Georgien/ Abchasien/ - / Kelasuri, Miussera
10145	41.1070299	43.0225417	Georgien	Georgien/ Abchasien/ - / Kelasuri, Agudseri
10146	40.4748237	43.1597423	Georgien	Georgien/Abchasien/- / Miussera
10147	40.4748237	43.1597423	Georgien	Georgien/ Abchasien/ - / Miussera
10148	40.4748237	43.1597423	Georgien	Georgien/ Abchasien/ - / Otschamtschira, Miussera 
10149	41.664571	42.8481132	Georgien	Georgien/ Abchasien/ Otschamtschira / Tkwartscheli 
10150	44.3643808	41.6981656	Georgien	Georgien/ - / Agbulach/ Manglissi 
10151	44.7747042	41.8154171	Georgien	Georgien/ - / - / Awtschala, 
10152	42.3220502	41.8529004	Georgien	Georgien/ - / - / Bachmaro 
10153	42.3220502	41.8529004	Georgien	Georgien/ - / - / Bachmaro 
10154			Georgien	Georgien/ - / - / Bergwerks-siedlung Nr. 2 
10155	44.5119551	41.3879166	Georgien	Georgien/ - / - / Bolnissi, Gori 
10156	44.5119551	41.3879166	Georgien	Georgien/ - / - / Bolnissi, Barmaksis 
10157			Georgien	Georgien/ - / - / Bulutschauri 
10158			Georgien	Georgien/ - / - / Chezer-Teesowchos 
10159			Georgien	Georgien/ - / - / Chrami-Wasser kraftwerkssiedlung, Barmaksis 
10160	44.596896	41.8437058	Georgien	Georgien/ - / - / Dsegwi 
10161	44.9595951	41.7907961	Georgien	Georgien/ - / - / Dwiri, Borshomi, Norio
10162	41.81218	42.49632	Georgien	Georgien/ - / - / Ingiri(Inguri) 
10163	41.81218	42.49632	Georgien	Georgien/ - / - / Ingiri(Inguri) 
10164	41.81218	42.49632	Georgien	Georgien/ - / - / Ingiri(Inguri) 
10165			Georgien	Georgien/ - / - / Kluchori 
10166	44.7867496	41.768306	Georgien	Georgien/ - / - / Ksani
10167	42.7054444	42.2713974	Georgien	Georgien/ - / - / Kutaïssi 
10168	42.7054444	42.2713974	Georgien	Georgien/ - / - / KutaTssi
10169	44.827096	41.7151377	Georgien	Georgien/ - / - / Kutai’ssi, TbiLissi
10170	42.7054444	42.2713974	Georgien	Georgien/ - / - / Kutaissi, Sairme, Sugdidi, Mokwa
10171	44.827096	41.7151377	Georgien	Georgien/ - / - / Kwareli, TbiLissi
10172	42.00682	41.92442	Georgien	Georgien/ - / Macharadse/ -
10173	42.7410544	41.9060459	Georgien	Georgien/ - / Macharadse/ Sairme
10174	45.7204413	41.8100492	Georgien	Georgien/ - / - / Mukusani
10175			Georgien	Georgien/ - / - / wtLugi, SaganLugi
10176			Georgien	Georgien/ - / - / wtLugi
10177	41.67137	42.1582596	Georgien	Georgien/ - / - / Poti
10178	41.67137	42.1582596	Georgien	Georgien/ - / - / Poti
10179	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10180	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10181	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10182	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10183	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10184	45.0430369	41.5225612	Georgien	Georgien/ - / - / Rustawi
10185	44.827096	41.7151377	Georgien	Georgien/ - / - / Samgori (Sandary, 40 km von TbiLissi)
10186	41.866992	42.5091391	Georgien	Georgien/ - / - / Sugdidi
10187	41.8051552	42.0438901	Georgien	Georgien/ - / - / Supsa
10188	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi
10189	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi
10190	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi
10191	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi
10192	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi, Molotow-Stadtbezirk
10193	44.845694	41.7815802	Georgien	Georgien/ - / - / Tbilissi, Bolnissi
10194	44.7799835	41.7494744	Georgien	Georgien/ - / - / Tbilissi, Didube
10195	44.7799835	41.7494744	Georgien	Georgien/ - / - / Tbilissi, Didube
10196	44.827096	41.7151377	Georgien	Georgien/ - / - / Tbilissi, wtlugi-1 •
10197	44.827096	41.7151377	Georgien	Georgien/ - / Tbilissi / Barmaksis, Tbilissi
10198			Georgien	Georgien/ - / - / Teegenossen-schaft Didatschkon
10199			Georgien	Georgien/ - / - / Teegenossen-schaft raseni
10200	42.9561992	42.345849	Georgien	Georgien/ - / - / Tk(w)ibuli
10201	42.9561992	42.345849	Georgien	Georgien/ - / - / Tk(w)ibuli
10202	42.9561992	42.345849	Georgien	Georgien/ -/- /Tk(w)ibuli
10203	42.9561992	42.345849	Georgien	Georgien/ - / - / Tk(w)ibuli
10204			Georgien	Georgien/ - / - / Tschaladidi
10205			Georgien	Georgien/ - / - / Tschubrin
10206	41.7706599	41.995165	Georgien	Georgien/ - / - / Ureki
10207			Georgien	Georgien/ - / - / Wedjanka, Barmaksis
10208	41.9788487	42.6021897	Georgien	Georgien/ -/ZaLendshicha/ ZaLendshicha
10209	42.5850247	42.326877	Georgien	Georgien/ - / Zchaltubo/ ZchaLtubo, Rosa
10210	42.42061	42.3226	Georgien	Georgien/ - / - / Zulukidse
10211	66.923684	48.019573	Kasachstan	Kasachstan/ -/ -/ -
10212	66.923684	48.019573	Kasachstan	Kasachstan/ -/ -/ -
10213	71.4703558	51.1605227	Kasachstan	Kasachstan/ - / - / Akmola
10214	71.4703558	51.1605227	Kasachstan	Kasachstan/ - / - / Akmola
10215	71.4703558	51.1605227	Kasachstan	Kasachstan/ -/ - / Akmola
10216	68.3636926	51.8204945	Kasachstan	Kasachstan/ Akmola/ - / Atbassar
10217	68.3636926	51.8204945	Kasachstan	Kasachstan/ Akmola/ - / Atbassar
10218	71.4703558	51.1605227	Kasachstan	Kasachstan/ - / - / Akmola, Dshalombet(Dshambejty/ Dshalal-Abad)
10219	66.4121858	51.9534228	Kasachstan	Kasachstan/ Akmola/ - / Jessil
10220	66.4121858	51.9534228	Kasachstan	Kasachstan/ Akmola/ - / Jessil
10221	69.4047918	51.7306972	Kasachstan	Kasachstan/ Akmola/ - / Koluton
10222	71.4703558	51.1605227	Kasachstan	Kasachstan/ AkmoLa/ - / Ko Luton
10223	70.6082877	52.5673045	Kasachstan	Kasachstan/ AkmoLa/ - / Makinka
10224	71.4703558	51.1605227	Kasachstan	Kasachstan/ AkmoLa/ Wischnjowka/ Wischnjowka
10225	57.166978	50.2839339	Kasachstan	Kasachstan/ Aktjubinsk/ - / -
10226	57.166978	50.2839339	Kasachstan	Kasachstan/ - / - / Aktjubinsk
10227	76.8512485	43.2220146	Kasachstan	Kasachstan/ - / - / ALma-Ata
10228	76.8512485	43.2220146	Kasachstan	Kasachstan/ ALma-Ata/ TaLdykorgan/ TekeLi
10229	78.3768204	45.0034616	Kasachstan	Kasachstan/ ALma-Ata/ TaLdykorgan/ TaLdykorgan
10230	78.3768204	45.0034616	Kasachstan	Kasachstan/ ALma-Ata/ TaLdykorgan/ TaLdykorgan
10231	78.3768204	45.0034616	Kasachstan	Kasachstan/ ALma-Ata/ TaLdykorgan/ TaLdykorgan
10232	78.3768204	45.0034616	Kasachstan	Kasachstan/ ALma-Ata/ TaLdykorgan/ TaLdykorgan
10233	51.7962183	47.0970563	Kasachstan	Kasachstan/ - / - / Gurjew
10234	51.7962183	47.0970563	Kasachstan	Kasachstan/ - / - / Gurjew
10235	51.7962183	47.0970563	Kasachstan	Kasachstan/ - / - / Gurjew
10236	53.304781	47.3282693	Kasachstan	Kasachstan/ Gurjew/ Makat / Baischoss
10237	53.304781	47.3282693	Kasachstan	Kasachstan/ Gurjew/ Makat / Baischoss
10238	71.6050028	43.1923938	Kasachstan	Kasachstan/ - / - / DshambuL
10239	71.6050028	43.1923938	Kasachstan	Kasachstan/ - / - / DshambuL
10240	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10241	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10242	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10243	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10244	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10245	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10246	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10247	73.1093826	49.8046835	Kasachstan	Kasachstan/ - / - / Karaganda
10248	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / ~
10249	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / -
10250	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / -
10251	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / -
10252	72.8605863	48.2562628	Kasachstan	Kasachstan/ Karaganda/ - / Agadyr
10253	72.3878971	50.6532665	Kasachstan	Kasachstan/ Karaganda/ - / Ar
10254	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ Balchasch-Stadt/ Kounradski
10255	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Bergwerksiedlung 26-26 BIS
10256	73.1093826	49.8046835	Kasachstan	Kasachstan/ Karaganda/ - / Bergwerksiedlung 42-43
