id	title	name_src	type	aat_types	parent	close_match
00078	Acatlan	alcedo	pueblo	300008375	Xalapa	
00079	Acatlan	alcedo			Nexapa	
00080	Acatlan	alcedo	reyno	300235096		
00081	Acatlan	alcedo	alcaldía mayor	300008347	Sentipac	
00082	Acatlazingo	alcedo	pueblo	300008375	Nexapa	
00083	Acatula	alcedo	pueblo	300008375	Venezuela	
00084	Acaxee	alcedo	nación de indios	300387171		
00085	Acaxete	alcedo	pueblo	300008375	Tepeaca	
00086	Acayuca	alcedo	alcaldía mayor	300008347		
00087	Acayuca	alcedo	pueblo	300008375	Pachuca	
00088	Acacingo	alcedo	pueblo	300008375	Tepeaca	
00089	Acazutla	alcedo	mar	300008694	Reyno de Goatemala	
00090	Accha	alcedo	pueblo	300008375	Corregimiento de Chilques y Masques	
00093	Aceites	alcedo	rio	300008707	Caracas	
00094	Acha	alcedo	monte	300008795	la Guayana	
