id	title	name_src	type	aat_types	ccodes	geowkt
12	Hardanger-Vidda	ne_mountains	mountain_range_5	300386831;300008795	NO	MULTIPOLYGON(((9.0440779957087 61.0404727234316,9.2249861988337 60.9829776062441,9.36658776133379 60.8742129578065,9.43665612070876 60.6966616882753,9.44044030039623 60.6033999695253,9.43238365977129 60.5062930359316,9.41273033945876 60.4093692078066,9.35718834727123 60.264227606244,9.29651940195873 60.1718203796815,9.26002037852123 60.1330630554629,8.92628014414629 59.8836123718691,8.83033287852129 59.7838809265566,8.72193444102123 59.6272036804628,8.66089928477123 59.5646426453066,8.56983483164623 59.5105654968691,8.05933678477123 59.2896792664003,7.79273522227129 59.1945864929628,7.52979576914626 59.1277529968691,7.23121178477129 59.1178042664004,6.94935143320873 59.2003848328066,6.73316490977123 59.3810488953066,6.63135826914629 59.6655337585878,6.63807213633373 59.8443667664003,6.68873131602126 59.9789492859316,6.77711022227123 60.095526434369,6.98792565195879 60.3219668640566,7.32300865977123 60.7251651062441,7.41724694102126 60.809637762494,7.61378014414623 60.9339663757754,7.72046959727121 60.9865176453066,7.82642662852121 61.0140445007753,7.97754967539626 61.0216738953066,8.27967369883376 61.0208194031191,8.74634850352123 61.065985418744,8.85608971445879 61.0639102234316,9.0440779957087 61.0404727234316)))
13	Chaîne Des Mongos	ne_mountains	mountain_range_5	300386831;300008795	CF;SD;SS;TD	MULTIPOLYGON(((21.3938756683538 7.59495197222174,21.0385848316463 7.55512116093162,19.4907332691462 8.48114655155663,19.7421981128963 9.24841950077533,21.3296004566462 10.2141787781191,22.6392928394587 10.1744448914003,24.1606551441463 9.94959137577536,25.4571639332088 9.42041657108788,25.2851668628962 8.32239411015033,23.6447860035213 8.22980377811909,22.4541121753963 7.71381256718162,21.3938756683538 7.59495197222174)))
14	Ogo   Mountains	ne_mountains	mountain_range_5	300386831;300008795	SO	MULTIPOLYGON(((51.1114126280391 11.3928362919778,51.0621444019588 11.2724673523378,50.8901473316462 10.9219424499941,50.4007674488338 10.7036196960878,50.0171004566463 10.6176211609316,49.7657576832087 10.8094546570253,49.3093367847712 10.9219424499941,48.9719344410212 10.7763736023378,48.5553084644588 10.6903750671816,48.3964949878962 10.789618231244,48.0988875660213 10.8425357117129,47.8541365894587 10.8292910828065,47.6291610035212 10.7433535828066,47.3911238941462 10.5448672546816,47.2522078785213 10.0156924499941,47.1001082691463 9.79083893436905,46.7495223316463 9.63867828983784,46.4848738941463 9.55933258671284,46.3128768238337 9.61225006718159,46.3393660816463 9.82391998905663,46.2335311207087 9.87683746952537,46.0549422535212 9.84375641483788,45.8366805347713 9.65851471561909,45.7242537769588 9.74451325077533,45.4926863941463 9.87683746952537,45.1421004566463 9.84375641483788,44.6328231128962 9.72467682499408,44.5468856128962 9.88342926640038,44.6262313160212 10.0620181335879,44.8510848316462 10.2273623718691,45.2214461597713 10.3795230164004,45.4860945972713 10.5117861999941,45.5985213550837 10.7565371765566,45.7904158863338 10.8292910828065,46.1342879566462 10.7830264343691,46.3923445972712 10.7168643249941,46.6502791675837 10.7301089539003,46.8884383472712 10.8954531921816,47.0868026050837 11.0211245789003,47.4505721363338 11.1600405945253,47.6689559253963 11.1203677429628,48.0922957691463 11.1732852234315,48.4758406910212 11.3122012390566,48.7273055347712 11.3187930359316,49.1174422535212 11.292303778119,49.5078231128962 11.3849551453066,49.7789412769587 11.5039736999941,50.1626082691462 11.5568911804628,50.3940535816462 11.6892153992128,50.5594588550838 11.8743960632754,50.7116805347713 11.9802310242128,51.2143660816463 11.8413760437441,51.1812850269587 11.5635440124941,51.1114126280391 11.3928362919778)))
15	Groot Karasberge	ne_mountains	mountain_range_5	300386831;300008795	NA;ZA	MULTIPOLYGON(((19.2614852222712 -28.8295223937559,18.9264022144588 -28.8560116515684,17.9650985035213 -28.7677548156309,17.4182235035212 -28.6707089171934,17.3388778003962 -28.2210018859435,17.1801863941462 -28.0270321593809,17.5858260425838 -27.5154354796934,17.8062850269588 -26.8010800109435,17.8062850269588 -26.4305966125059,18.0444442066463 -25.8838436828184,18.0003768238338 -25.1959774718809,18.2561141285212 -25.0901425109434,18.5559188160213 -25.5928280578184,18.9704695972713 -25.839776300006,20.0200301441462 -26.2806942687559,20.5579940113337 -26.7921688781309,20.2845565113337 -27.259698175006,20.4168807300838 -27.6653378234434,20.5050154957088 -28.3268368468809,20.0023299488338 -28.3796932921935,19.4996444019588 -28.5560848937559,19.2614852222712 -28.8295223937559)))
16	Guinea Highlands	ne_mountains	mountain_range_5	300386831;300008795	GN;LR;CI;SL	MULTIPOLYGON(((-7.11754309804127 7.12732575077531,-7.27623450429127 6.95093414921284,-7.94652259022874 7.02149078983783,-9.11070716054127 7.30371735233786,-9.76335608632246 7.53302643436906,-10.2042740550725 7.85053131718159,-10.5217179027287 8.27387116093159,-10.1513565746038 9.10291168827536,-9.74565589101002 9.49091217655656,-8.79320227772874 9.61438629765037,-7.75255286366624 9.30573151249408,-7.33800208241624 8.72363922733786,-7.11754309804127 7.92108795780658,-7.11754309804127 7.12732575077531)))
17	Marrah Mountains	ne_mountains	mountain_range_5	300386831;300008795	SD	MULTIPOLYGON(((25.4262801441463 13.3273379578066,24.8883162769588 12.3924624695253,23.8652449878962 12.5335757507754,23.5036727222713 13.4067446960879,23.8829451832088 14.4209048523379,24.6855574878963 15.0824038757753,25.2323104175837 15.3911196960878,25.9290877613337 15.9290225281191,26.9079695972713 16.1495425476504,27.4812117847713 15.6557070984316,27.5870467457087 15.3734195007754,27.2519637378963 14.8530947937441,26.6787215503963 14.6061465515566,25.7526961597713 14.0064151062441,25.4262801441463 13.3273379578066)))
18	Ahmar Mountains	ne_mountains	mountain_range_5	300386831;300008795	ET	MULTIPOLYGON(((41.2660018238338 8.71478912968162,40.6309920582087 8.34442780155658,40.4546004566463 8.57373688358787,40.4721785816463 8.99701569218156,40.6838485035212 9.15582916874409,41.1954451832088 9.43799469608781,41.7598983082088 9.64966461796287,42.4830428394587 9.73786041874409,42.8888045582087 9.75549957890034,43.1908065113338 9.47992584843163,42.8535262378962 9.3476626648378,42.6947127613338 9.21533844608784,42.2713729175838 9.01032135624412,42.1324569019587 8.84491608280658,41.2660018238338 8.71478912968162)))
19	Al Jabal Al Akhdar	ne_mountains	mountain_range_5	300386831;300008795	LY	MULTIPOLYGON(((23.0521748683926 32.474700045825,23.0692244800837 32.3796450867129,22.1762801441462 32.3928286804628,21.2833358082088 32.333319403119,20.7872420582087 31.9959780945254,20.1654158863338 31.6453921570254,19.9604598316463 31.9232241882753,20.4499617847713 32.4788272156191,21.1179305347713 32.7963320984316,21.7132674488337 32.9617373718691,22.3217879566463 32.908758856244,23.0229598316462 32.6375796570254,23.0521748683926 32.474700045825)))
20	Er Rif	ne_mountains	mountain_range_5	300386831;300008795	ES;MA	MULTIPOLYGON(((-5.12873591042225 35.4635320441961,-4.79796301991624 35.170965887494,-4.20262610585377 35.1974551453066,-3.94469153554121 35.2834536804629,-3.69334876210374 35.2437197937441,-3.30308997304124 35.2040469421816,-2.99876868397874 35.4024722351504,-2.89293372304127 35.1643740906191,-2.53575598866624 35.1247012390566,-2.80034339101002 34.7741153015566,-3.33617102772874 34.4102847351504,-3.87193762929121 34.3375308289004,-4.26219641835374 34.2978579773379,-4.62596594960377 34.1986148132753,-5.12205969960377 34.1192691101503,-5.39989173085379 34.0861880554628,-5.86949622304121 34.1391055359316,-5.80339514882246 34.2846133484316,-5.49913489491627 34.595526434369,-5.84972083241627 34.8997866882754,-5.80998694569746 35.1378848328065,-5.83647620351002 35.6141421570253,-5.88274085194746 35.7728945984316,-5.47264563710377 35.8985659851503,-5.38005530507254 35.9184024109316,-5.14195716054124 35.4752261414003,-5.12873591042225 35.4635320441961)))
21	Atlas Tellien	ne_mountains	mountain_range_5	300386831;300008795	DZ;MA	MULTIPOLYGON(((4.94388026555217 36.8477723857269,5.46790612070873 36.5666568054629,5.83826744883376 36.2094790710879,6.14258873789629 35.8787295593691,5.42823326914623 35.6008975281191,4.15821373789621 35.9448916687441,2.41187584727123 35.9184024109316,1.67115319102123 35.5215518249941,1.49915612070879 35.3495547546816,1.23450768320879 35.1247012390566,0.983164909771233 34.8071963562441,-0.194203254291239 34.7013613953066,-0.855702277728767 34.5822818054628,-1.80815589101002 34.3044497742129,-2.11241614491624 34.1986148132753,-2.62840735585377 33.9208438171816,-3.22368323476002 33.7885195984315,-3.4750870433538 33.8811099304629,-3.38243567616624 34.1060244812441,-3.02525794179121 34.4500186218691,-2.64159094960371 34.9791323914004,-2.41673743397874 35.1247012390566,-2.00658118397874 35.0849673523378,-1.26579749257252 35.4024722351504,-0.974720832416267 35.7199771179629,-0.617543098041239 35.7597110046816,-0.405873176166267 35.9184024109316,-0.141285773822489 35.7993838562441,0.189463737896261 36.0507266296815,1.1286727222712 36.5269839539004,2.27967369883373 36.6328189148379,2.57068932383376 36.6195742859316,3.03370201914626 36.8047549499941,3.17920983164626 36.7783267273378,3.84070885508379 36.937079168744,4.92542565195879 36.8576724304628,4.94388026555217 36.8477723857269)))
